measured_at,run_id,backend,page,trait,cer,problem,structure,backend_status,prompt_sha,render_version,endpoint,served_by,prompt_tokens,completion_tokens,reasoning_tokens,cost
2026-08-26T03:59:13.959Z,32928324923,openrouter/anthropic/claude-sonnet-5,03,bulleted-list,0.005102,,list:ok,pass,635b0b92a4432be2,31,,,,,,
2026-08-26T03:59:13.959Z,32928324923,openrouter/anthropic/claude-sonnet-5,04,numbered-list,0.009615,,list:ok,pass,635b0b92a4432be2,31,,,,,,
2026-08-26T03:59:13.959Z,32928324923,openrouter/anthropic/claude-sonnet-5,05,table,0.030675,,table:ok,pass,635b0b92a4432be2,31,,,,,,
2026-08-26T03:59:13.959Z,32928324923,openrouter/anthropic/claude-sonnet-5,06,formula,0.023810,,,pass,635b0b92a4432be2,31,,,,,,
2026-08-26T03:59:13.959Z,32928324923,openrouter/anthropic/claude-sonnet-5,07,mixed-language,0.004773,,,pass,635b0b92a4432be2,31,,,,,,
2026-08-26T03:59:13.959Z,32928324923,openrouter/anthropic/claude-sonnet-5,08,diagram,0.187500,,,pass,635b0b92a4432be2,31,,,,,,
2026-08-26T03:59:13.959Z,32928324923,openrouter/anthropic/claude-sonnet-5,09,nearly-empty,0.000000,,,pass,635b0b92a4432be2,31,,,,,,
2026-08-26T03:59:13.959Z,32928324923,openrouter/anthropic/claude-sonnet-5,10,dense,0.002378,,,pass,635b0b92a4432be2,31,,,,,,
2026-08-26T03:59:13.959Z,32928324923,openrouter/anthropic/claude-sonnet-5,11,numbers,0.043478,,,pass,635b0b92a4432be2,31,,,,,,
2026-08-26T03:59:13.959Z,32928324923,openrouter/anthropic/claude-sonnet-5,12,special-chars,0.014006,,,pass,635b0b92a4432be2,31,,,,,,
2026-08-26T03:59:13.959Z,32928324923,openrouter/anthropic/claude-sonnet-5,13,corrections,0.185841,,,pass,635b0b92a4432be2,31,,,,,,
2026-08-26T03:59:13.959Z,32928324923,openrouter/anthropic/claude-sonnet-5,14,margin-note,0.189744,,,pass,635b0b92a4432be2,31,,,,,,
2026-08-26T03:59:13.959Z,32928324923,openrouter/google/gemini-2.5-flash,01,clean-prose,0.000000,,,pass,635b0b92a4432be2,31,,,,,,
2026-08-26T03:59:13.959Z,32928324923,openrouter/google/gemini-2.5-flash,02,rushed-prose,0.008000,,,pass,635b0b92a4432be2,31,,,,,,
